"Country","medium_age","Ranking medium age"
Moldova,35,1
Iceland,36,2
Albania,38,3
Ireland,38,3
Montenegro,39,5
San Marino,39,5
North Macedonia,39,5
Luxembourg,39,5
Switzerland,40,9
Slovenia,40,9
Poland,40,9
Malta,40,9
Norway,40,9
Belarus,41,14
Belgium,41,14
Romania,41,14
Denmark,41,14
Ukraine,42,18
Estonia,42,18
France,42,18
Hungary,42,18
Bosnia and Herzegovina,42,18
Netherlands,42,18
Andorra,43,24
Finland,43,24
Czech Republic,43,24
Slovakia,43,24
Austria,43,24
Lithuania,44,29
Liechtenstein,44,29
Croatia,44,29
Spain,44,29
Latvia,44,29
Greece,45,34
Germany,45,34
Bulgaria,45,34
United Kingdom,45,34
Sweden,45,34
Portugal,46,39
Serbia,47,40
Italy,48,41
Monaco,54,42
